lon_round,lat_round,longitude,latitude,names,categories,sources,n_sources,contribution_score
-84.38827,33.78586,-84.3882659,33.7858568,Whole Foods Midtown,Grocery Store,gdf_selected,1,1989.5027466778583
-84.38804,33.7796,-84.38804399999998,33.77959930000001,Publix West Peachtree Midtown,Grocery Store,gdf_selected,1,1948.805889238611
-84.38387,33.77866,-84.38387,33.77866,Dollar General 21822,Combination Grocery/Other,snap_atlanta_df,1,1945.4841139050714
-84.38795,33.78659,-84.38795,33.78659,Whole Foods 10650,Super Store,snap_atlanta_df,1,1866.5765524740648
-84.38826,33.75991,-84.38826,33.75991,Peach Mart  ,Convenience Store,snap_atlanta_df,1,1786.710963779642
-84.38432,33.77781,-84.38432,33.77781,QuikTrip 1700,Convenience Store,snap_atlanta_df,1,1722.2301564846953
-84.38431,33.78105,-84.38430769999998,33.7810517,Savi Provisions,Neighborhood Market,gdf_selected,1,1678.0000584617903
-84.38441,33.77753,-84.38441,33.77753,CVS Pharmacy 2943,Combination Grocery/Other,snap_atlanta_df,1,1638.4952249328414
-84.39012,33.75937,-84.39012,33.75937,Circle K 26655984,Convenience Store,snap_atlanta_df,1,1604.1053141195662
-84.38262,33.75748,-84.38262,33.75748,BP Food Mart  ,Convenience Store,snap_atlanta_df,1,1592.2779645596502
-84.38755,33.76044,-84.38755,33.76044,CVS 10043,Combination Grocery/Other,snap_atlanta_df,1,1574.869091167081
-84.37995,33.78173,-84.37995,33.78173,Midtown Market 225  ,Convenience Store,snap_atlanta_df,1,1492.5910272552626
-84.3587,33.85157,-84.3587,33.85157,Publix 664 | Target Store 1197,Super Store | Supermarket,snap_atlanta_df,1,1488.2624537298946
-84.37397,33.84615,-84.373972166504,33.846150251965,"Publix Super Markets, Inc.",Grocery Store,df_grocery_selected,1,1459.5801407981562
-84.3585,33.85182,-84.3584999999999,33.85182410000001,Publix Lenox | Target PeachtreeLenox,Grocery Store | Supercenter,gdf_selected,1,1432.8158632505229
-84.37863,33.78386,-84.37863,33.78386,Piedmont Park Green Market  ,Farmers' Market,snap_atlanta_df,1,1426.4836078347205
-84.37733,33.83737,-84.3773314,33.83737459999999,Savi Provisions,Neighborhood Market,gdf_selected,1,1421.5355316396124
-84.37858,33.7839,-84.37858039999989,33.783898,Green Market at Piedmont Park,Farmers Market,gdf_selected,1,1411.7095814272889
-84.38193,33.84064,-84.381928604274,33.840638605804,"WHOLE FOODS  MARKET GROUP, INC | Whole Foods Market Buckhead",Grocery Store,df_grocery_selected | gdf_selected,2,1384.5689320351714
-84.38129,33.83999,-84.38129,33.83999,Whole Foods Market 10206,Super Store,snap_atlanta_df,1,1377.2143903909293
-84.37475,33.84608,-84.37475,33.84608,"Publix Super Markets, Inc. 1867",Supermarket,snap_atlanta_df,1,1358.349505468254
-84.38784,33.75723,-84.38784,33.75723,CVS Pharmacy 02757,Combination Grocery/Other,snap_atlanta_df,1,1341.6089887536295
-84.38207,33.77251,-84.38207,33.77251,Bp Food Mart  ,Convenience Store,snap_atlanta_df,1,1330.7013883487514
